"MLS#","PROPERTY TYPE","ADDRESS","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","LATITUDE","LONGITUDE"
72932313,"Single Family Residential","123 Savoy Ave",1104,239900,4,1.5,"Springfield",1488,4613,1924,1,161,,"Active",42.1283968,-72.5719859
72932246,"Single Family Residential","49 Glenham St",1104,234900,4,1,"East Springfield",1165,5249,1948,2,202,,"Active",42.1318332,-72.5714314
72932170,"Multi-Family (2-4 Unit)","64-66 Glenwood St",1119,269900,4,2,"Springfield",1800,5001,1986,2,150,,"Active",42.135428,-72.516763
72932089,"Single Family Residential","32 Ambrose St",1109,210000,3,1,"Springfield",1381,7179,1921,2,152,,"Active",42.1240635,-72.5363576
72932077,"Single Family Residential","71 Phoenix Ter",1104,229900,3,2,"Springfield",1476,5001,1916,2,156,,"Active",42.1235368,-72.5821513
72932026,"Single Family Residential","55 Perkins St",1118,329900,4,2.5,"Springfield",2189,5397,1920,3,151,,"Contingent",42.0905848,-72.544029
72932025,"Multi-Family (2-4 Unit)","432 Sumner Ave",1108,289900,8,3,"Springfield",3274,8140,1911,3,89,,"Active",42.0859023,-72.5606187
72932003,"Multi-Family (2-4 Unit)","19 Kimberly Ave",1108,279900,7,2,"Springfield",3554,5001,1914,3,79,,"Active",42.0893016,-72.5504524
72932000,"Multi-Family (2-4 Unit)","90 Allen St",1108,155000,4,2,"Springfield",1600,2783,1904,3,97,,"Active",42.0958673,-72.5600064
72931990,"Condo/Co-op","101 Mulberry St #114",1105,84000,2,1,"South End Central",840,,1955,3,100,406,"Active",42.1026485,-72.5769531
72931869,"Single Family Residential","126 2Nd St",1104,209900,2,1,"East Springfield",768,6397,1955,3,273,,"Active",42.1523979,-72.5376054
72931856,"Multi-Family (2-4 Unit)","321- 323 Orange St",1108,279900,8,2,"Springfield",2996,5388,1899,3,93,,"Active",42.0929499,-72.5574764
